Week,Subject,Avg Marks,Target,Progress,Next Action
202602,Biology,60.0%,70.0%,→ +0.0%,Focus Exam + 1 hr/day on key topics (close 10.0% gap)
202602,Chemistry,50.0%,82.0%,→ +0.0%,Focus Quiz + 1 hr/day on key topics (close 32.0% gap)
202602,English,80.0%,80.0%,→ +0.0%,Maintain current strategy + 30 min revision
202602,Math,70.0%,85.0%,→ +0.0%,Focus Exam + 1 hr/day on key topics (close 15.0% gap)
202603,Biology,65.0%,70.0%,↑ +5.0%,Focus Exam + 1 hr/day on key topics (close 5.0% gap)
202603,Chemistry,55.0%,82.0%,↑ +5.0%,Focus Quiz + 1 hr/day on key topics (close 27.0% gap)
202603,English,75.0%,80.0%,↓ -5.0%,Focus Assignment + 1 hr/day on key topics (close 5.0% gap)
202603,Math,80.0%,85.0%,↑ +10.0%,Focus Exam + 1 hr/day on key topics (close 5.0% gap)
202604,Biology,58.0%,70.0%,↓ -7.0%,Focus Exam + 1 hr/day on key topics (close 12.0% gap)
202604,Chemistry,60.0%,82.0%,↑ +5.0%,Focus Quiz + 1 hr/day on key topics (close 22.0% gap)
202604,English,76.0%,80.0%,↑ +1.0%,Focus Assignment + 1 hr/day on key topics (close 4.0% gap)
202604,Math,68.0%,85.0%,↓ -12.0%,Focus Exam + 1 hr/day on key topics (close 17.0% gap)
